,value,metric,type
444,0.21964647534567402,ade,ml
445,0.02307638658004035,ade,ml
446,0.15166317719497507,ade,ml
447,0.02509722977614508,ade,ml
448,0.15919313151332018,ade,ml
449,0.028588497445542135,ade,ml
450,0.7604373182519786,ade,ml
451,0.03149101943854444,ade,ml
452,0.7137769302546175,ade,ml
453,0.03146541813682855,ade,ml
454,0.14454036720623345,ade,ml
455,0.024956759968567707,ade,ml
456,0.3270354685619256,ade,ml
457,0.024957358448664632,ade,ml
458,0.36404354207084805,ade,ml
459,0.0243455236985899,ade,ml
460,0.4276180576032593,ade,ml
461,0.023888501512581522,ade,ml
462,0.2130501051356203,ade,ml
463,0.017852364084131305,ade,ml
464,0.35489250357137453,ade,ml
465,0.025021576227622383,ade,ml
466,0.05381071812548247,ade,ml
467,0.10863321624980711,ade,ml
468,0.03865457802464121,ade,ml
469,0.07032285647304304,ade,ml
470,0.12372805690807342,ade,ml
471,0.055584170203277695,ade,ml
472,0.08265513231597192,ade,ml
473,0.19018968161353603,ade,ml
474,0.06186163788199828,ade,ml
475,0.08330765425688241,ade,ml
476,0.17558531531871935,ade,ml
477,0.07151662658255396,ade,ml
478,0.08093179676034379,ade,ml
479,0.148805832031798,ade,ml
480,0.0719282727867487,ade,ml
481,0.0719259030181174,ade,ml
482,0.20102141604478618,ade,ml
483,0.052743519362933734,ade,ml
484,0.10944323849237943,ade,ml
485,0.3465390237581291,ade,ml
486,0.36925078459170363,ade,ml
487,1.3137242877356246,ade,ml
488,2.0050309607415566,ade,ml
489,0.25928552845922553,ade,ml
490,0.5029888464070535,ade,ml
491,0.3319287314804518,ade,ml
492,0.6533586572083719,ade,ml
493,0.6800072262857619,ade,ml
494,0.2947232160121133,ade,ml
495,0.9581560546538436,ade,ml
496,0.588817155044521,ade,ml
497,0.39605530388624155,ade,ml
498,0.019358458389735572,ade,ml
499,1.3651352961796428,ade,ml
500,0.43812267880979067,ade,ml
501,0.011584244819595538,ade,ml
502,1.0149384695989665,ade,ml
503,0.7589952210080595,ade,ml
504,0.012882279492835371,ade,ml
505,0.820832725916047,ade,ml
506,0.016321847160614047,ade,ml
507,0.3111203303527079,ade,ml
508,0.7337099886500168,ade,ml
509,0.014613803250125762,ade,ml
510,1.5807330938816848,ade,ml
511,0.014203629766074574,ade,ml
512,0.32224769863633007,ade,ml
513,0.47527722554092894,ade,ml
514,0.8057245847233565,ade,ml
515,0.014801181217943327,ade,ml
516,0.6630102529522256,ade,ml
517,0.01355996092330584,ade,ml
518,0.12305977677343523,ade,ml
519,0.01693895971757704,ade,ml
520,0.8692546916074736,ade,ml
521,0.3740208798382674,ade,ml
522,0.014478956949501668,ade,ml
523,0.5577734939559318,ade,ml
524,0.010007248748444561,ade,ml
525,0.19596754359942406,ade,ml
526,0.012103512064093455,ade,ml
527,0.9563612379431944,ade,ml
528,0.1114302519174532,ade,ml
529,0.014240341240664518,ade,ml
530,0.3466087739474106,ade,ml
531,0.011190169651062851,ade,ml
532,0.3702750628985288,ade,ml
533,0.011065641240613383,ade,ml
534,0.6463641178089077,ade,ml
535,0.07368338840863493,ade,ml
536,0.01265037372210341,ade,ml
537,0.18402456270413622,ade,ml
538,0.011180162834592946,ade,ml
539,0.6327914923830392,ade,ml
540,0.010738319553660718,ade,ml
541,0.015975773295897926,ade,ml
542,0.5700407897077678,ade,ml
543,0.08971731012884589,ade,ml
544,0.011102508159966606,ade,ml
545,0.15570838195635012,ade,ml
546,0.011515763255743931,ade,ml
547,0.10348882037025427,ade,ml
548,0.01091807392169486,ade,ml
549,0.011867564212105995,ade,ml
550,0.49912431165992804,ade,ml
551,0.06619576426874825,ade,ml
552,0.010797313426490615,ade,ml
553,0.2592080706487389,ade,ml
554,0.011873101853742718,ade,ml
555,0.17572548536084054,ade,ml
556,0.010640835394347778,ade,ml
557,0.010805174507593024,ade,ml
558,0.24021357666319462,ade,ml
559,0.09664646786086489,ade,ml
560,0.010995710644919762,ade,ml
561,0.7414271129173824,ade,ml
562,0.01220381149348456,ade,ml
563,0.05803462179241447,ade,ml
564,0.010441608504261261,ade,ml
565,0.010244452235110231,ade,ml
566,0.24262563615064306,ade,ml
567,0.07240500221432318,ade,ml
568,0.011114777158353911,ade,ml
569,1.1671335746335962,ade,ml
570,0.011444722763115506,ade,ml
571,0.1055878545472646,ade,ml
572,0.0109539162645913,ade,ml
