,value,metric,type
112,0.2930750372400885,fde,ml
113,2.8100709697501984,fde,ml
114,4.159949538454852,fde,ml
115,1.4407330287702755,fde,ml
116,7.131728579836173,fde,ml
117,1.489020966133604,fde,ml
118,4.6521304119209,fde,ml
119,1.7832303653856467,fde,ml
120,8.954112876349695,fde,ml
121,0.09863246138487548,fde,ml
122,1.4070812779268849,fde,ml
123,1.3177968920269032,fde,ml
124,4.764720498669907,fde,ml
125,1.0891318062819544,fde,ml
126,0.7143670921316267,fde,ml
127,1.9429929322886943,fde,ml
128,2.5169959876240293,fde,ml
129,3.4100448020410186,fde,ml
130,3.9561801450366856,fde,ml
131,1.9133554997538933,fde,ml
132,4.322753296264126,fde,ml
133,3.370669623523764,fde,ml
134,1.8007974171521643,fde,ml
135,6.937110135300423,fde,ml
136,5.6390343493874875,fde,ml
137,3.8462190251437818,fde,ml
138,5.396225122017638,fde,ml
139,4.380863264012665,fde,ml
140,2.559142394391342,fde,ml
141,3.201478711256081,fde,ml
142,1.9510013296835942,fde,ml
143,2.342647196725409,fde,ml
144,4.629924157270536,fde,ml
145,2.2073362629006525,fde,ml
146,2.446850161469493,fde,ml
147,3.1675521614339814,fde,ml
148,3.5518761101601726,fde,ml
149,3.318415443913942,fde,ml
150,3.4976089149050753,fde,ml
151,4.833516769544031,fde,ml
152,4.462791462066787,fde,ml
153,4.352824175000942,fde,ml
154,3.6805445421614484,fde,ml
155,3.504815411644792,fde,ml
156,3.3642515662139276,fde,ml
157,5.091547367957582,fde,ml
158,5.540223793460373,fde,ml
159,0.9793253235451118,fde,ml
160,0.6908688970304748,fde,ml
161,1.52668804790034,fde,ml
162,2.7989479617023143,fde,ml
163,3.8592054024179903,fde,ml
164,2.386723040965051,fde,ml
165,4.738896040087054,fde,ml
166,0.32902875943370646,fde,ml
167,3.8638663762296295,fde,ml
168,1.2049191637781271,fde,ml
169,3.7189047288522077,fde,ml
170,2.518160407038541,fde,ml
171,4.9312200865935365,fde,ml
172,3.600000473162982,fde,ml
173,6.647385836570726,fde,ml
174,7.766533798103348,fde,ml
175,3.815309361312598,fde,ml
176,5.211631043382115,fde,ml
177,0.9674046920398265,fde,ml
178,2.25453335316397,fde,ml
179,3.193624706299472,fde,ml
180,2.153796084817822,fde,ml
181,4.453044108094399,fde,ml
182,1.7689219860051089,fde,ml
183,3.2837808447137147,fde,ml
184,1.5973411962805943,fde,ml
185,2.3394113078587178,fde,ml
186,1.7021464287937944,fde,ml
187,0.06843268586783459,fde,ml
188,3.8169424771389124,fde,ml
189,4.371354374043787,fde,ml
190,0.07095457045739317,fde,ml
191,3.196095690163396,fde,ml
192,3.356023151561821,fde,ml
193,0.06890907633229834,fde,ml
194,7.266062571554444,fde,ml
195,1.4925017560674199,fde,ml
196,0.06784812903478434,fde,ml
197,1.67832327903297,fde,ml
198,0.7398651198593921,fde,ml
199,0.06807909852396493,fde,ml
200,0.7161069106854511,fde,ml
201,1.3138083551631232,fde,ml
202,0.06585176106505676,fde,ml
203,5.6522230611190905,fde,ml
204,5.837471468502247,fde,ml
